# %ECSV 1.0
# ---
# datatype:
# - {name: time, unit: ns, datatype: float64}
# - {name: longitudinal, unit: V/pC, datatype: float64}
# - {name: dipole_x, unit: V/pC/m, datatype: float64}
# - {name: dipole_y, unit: V/pC/m, datatype: float64}
# meta: !!omap
# - {origin: CST and IW2D}
# - {author: Keon Hee Kim}
# - {date of production: 2026/05/15}
# - {comments: contributions from RW bellows BPMs RF cavities}
# schema: astropy-2.0
time longitudinal dipole_x dipole_y
5.5455030826692786e-01 1.8927979575964048e+02 5.5547737937839893e+03 1.6350153792647675e+03
5.5465037749548718e-01 1.9286477446424047e+02 5.5551410985476632e+03 1.6335747880601712e+03
5.5475044672404672e-01 1.9639569389239509e+02 5.5563395423139473e+03 1.6324357536740547e+03
5.5485051595260615e-01 1.9986912016195240e+02 5.5583554227304503e+03 1.6315964281030106e+03
5.5495058518116569e-01 2.0328166852798043e+02 5.5611744280908551e+03 1.6310547193075984e+03
5.5505065440972501e-01 2.0663000661256297e+02 5.5647816493039063e+03 1.6308082926587265e+03
5.5515072363828455e-01 2.0991085754292035e+02 5.5691615923330883e+03 1.6308545725842300e+03
5.5525079286684398e-01 2.1312100299838247e+02 5.5742981911000334e+03 1.6311907444175238e+03
5.5535086209540319e-01 2.1625728616845706e+02 5.5801748208441504e+03 1.6318137564498006e+03
5.5545093132396273e-01 2.1931661462578109e+02 5.5867743119301194e+03 1.6327203221867951e+03
5.5555100055252216e-01 2.2229596311946281e+02 5.5940789640944186e+03 1.6339069228105830e+03
5.5565106978108159e-01 2.2519237629548132e+02 5.6020705611210869e+03 1.6353698098462582e+03
5.5575113900964102e-01 2.2800297135181614e+02 5.6107303859360482e+03 1.6371050080326518e+03
5.5585120823820056e-01 2.3072494063652931e+02 5.6200392361084905e+03 1.6391083183955047e+03
5.5595127746675999e-01 2.3335555419704855e+02 5.6299774397469082e+03 1.6413753215207912e+03
5.5605134669531942e-01 2.3589216228832214e+02 5.6405248717764844e+03 1.6439013810251461e+03
5.5615141592387884e-01 2.3833219784639056e+02 5.6516609705836581e+03 1.6466816472196449e+03
5.5625148515243839e-01 2.4067317893226766e+02 5.6633647550129672e+03 1.6497110609625613e+03
5.5635155438099770e-01 2.4291271114884532e+02 5.6756148417006625e+03 1.6529843576962110e+03
5.5645162360955724e-01 2.4504849003106060e+02 5.6883894627289446e+03 1.6564960716625405e+03
5.5655169283811667e-01 2.4707830340687474e+02 5.7016664835843312e+03 1.6602405402918414e+03
