# Freq(GHz) Re(Z) Im(Z)
2.100000e+00 1.283384e+04 -1.145105e+04
2.110000e+00 1.290235e+04 -1.097895e+04
2.120000e+00 1.298366e+04 -1.051676e+04
2.130000e+00 1.307724e+04 -1.006484e+04
2.140000e+00 1.318239e+04 -9.623667e+03
2.150000e+00 1.329880e+04 -9.193338e+03
2.160000e+00 1.342593e+04 -8.774102e+03
2.170000e+00 1.356327e+04 -8.366227e+03
2.180000e+00 1.371028e+04 -7.969899e+03
2.190000e+00 1.386642e+04 -7.585352e+03
2.200000e+00 1.403114e+04 -7.212749e+03
2.210000e+00 1.420372e+04 -6.852434e+03
2.220000e+00 1.438381e+04 -6.504341e+03
2.230000e+00 1.457087e+04 -6.168598e+03
2.240000e+00 1.476436e+04 -5.845272e+03
2.250000e+00 1.496375e+04 -5.534438e+03
2.260000e+00 1.516850e+04 -5.236148e+03
2.270000e+00 1.537807e+04 -4.950434e+03
2.280000e+00 1.559177e+04 -4.677451e+03
2.290000e+00 1.580922e+04 -4.417073e+03
2.300000e+00 1.602992e+04 -4.169217e+03
2.310000e+00 1.625402e+04 -3.933947e+03
2.320000e+00 1.648136e+04 -3.711273e+03
2.330000e+00 1.671047e+04 -3.500911e+03
2.340000e+00 1.694083e+04 -3.302745e+03
2.350000e+00 1.717190e+04 -3.116726e+03
2.360000e+00 1.740316e+04 -2.942766e+03
2.370000e+00 1.763428e+04 -2.780568e+03
2.380000e+00 1.786480e+04 -2.629949e+03
2.390000e+00 1.809431e+04 -2.490729e+03
2.400000e+00 1.832236e+04 -2.362702e+03
2.410000e+00 1.854855e+04 -2.245632e+03
2.420000e+00 1.877249e+04 -2.139291e+03
2.430000e+00 1.899365e+04 -2.043565e+03
2.440000e+00 1.921174e+04 -1.958123e+03
2.450000e+00 1.942645e+04 -1.882611e+03
2.460000e+00 1.963744e+04 -1.816758e+03
2.470000e+00 1.984440e+04 -1.760264e+03
2.480000e+00 2.004700e+04 -1.712823e+03
2.490000e+00 2.024495e+04 -1.674117e+03
2.500000e+00 2.043798e+04 -1.643824e+03
2.510000e+00 2.062567e+04 -1.621754e+03
2.520000e+00 2.080787e+04 -1.607478e+03
2.530000e+00 2.098439e+04 -1.600594e+03
2.540000e+00 2.115502e+04 -1.600753e+03
2.550000e+00 2.131956e+04 -1.607596e+03
2.560000e+00 2.147782e+04 -1.620764e+03
2.570000e+00 2.163066e+04 -1.640892e+03
2.580000e+00 2.177720e+04 -1.666905e+03
2.590000e+00 2.191693e+04 -1.698251e+03
2.600000e+00 2.204974e+04 -1.734525e+03
2.610000e+00 2.217561e+04 -1.775288e+03
2.620000e+00 2.229447e+04 -1.820138e+03
2.630000e+00 2.240624e+04 -1.868725e+03
2.640000e+00 2.251089e+04 -1.920681e+03
2.650000e+00 2.260837e+04 -1.975610e+03
2.660000e+00 2.269868e+04 -2.033169e+03
2.670000e+00 2.278179e+04 -2.092984e+03
2.680000e+00 2.285756e+04 -2.154890e+03
2.690000e+00 2.292618e+04 -2.218324e+03
2.700000e+00 2.298771e+04 -2.282954e+03
2.710000e+00 2.304221e+04 -2.348420e+03
2.720000e+00 2.308974e+04 -2.414397e+03
2.730000e+00 2.313038e+04 -2.480539e+03
2.740000e+00 2.316426e+04 -2.546533e+03
2.750000e+00 2.319147e+04 -2.612044e+03
2.760000e+00 2.321208e+04 -2.676827e+03
2.770000e+00 2.322617e+04 -2.740665e+03
2.780000e+00 2.323400e+04 -2.803114e+03
2.790000e+00 2.323576e+04 -2.863898e+03
2.800000e+00 2.323159e+04 -2.922749e+03
2.810000e+00 2.322168e+04 -2.979399e+03
2.820000e+00 2.320630e+04 -3.033866e+03
2.830000e+00 2.318588e+04 -3.087225e+03
2.840000e+00 2.316035e+04 -3.137659e+03
2.850000e+00 2.312986e+04 -3.185006e+03
2.860000e+00 2.309455e+04 -3.229131e+03
2.870000e+00 2.305480e+04 -3.269722e+03
2.880000e+00 2.301083e+04 -3.306581e+03
2.890000e+00 2.296291e+04 -3.339540e+03
2.900000e+00 2.291127e+04 -3.368457e+03
2.910000e+00 2.285619e+04 -3.393165e+03
2.920000e+00 2.279792e+04 -3.413545e+03
2.930000e+00 2.273672e+04 -3.429475e+03
2.940000e+00 2.267286e+04 -3.440857e+03
2.950000e+00 2.260646e+04 -3.447749e+03
2.960000e+00 2.253792e+04 -3.449933e+03
2.970000e+00 2.246755e+04 -3.447332e+03
2.980000e+00 2.239562e+04 -3.439891e+03
2.990000e+00 2.232240e+04 -3.427557e+03
3.000000e+00 2.224816e+04 -3.410324e+03
3.010000e+00 2.217318e+04 -3.388158e+03
3.020000e+00 2.209775e+04 -3.361077e+03
3.030000e+00 2.202211e+04 -3.329080e+03
3.040000e+00 2.194651e+04 -3.292243e+03
3.050000e+00 2.187111e+04 -3.250683e+03
3.060000e+00 2.179631e+04 -3.204329e+03
3.070000e+00 2.172238e+04 -3.153230e+03
3.080000e+00 2.164922e+04 -3.098361e+03
3.090000e+00 2.157709e+04 -3.039727e+03
3.100000e+00 2.150658e+04 -2.976614e+03
3.110000e+00 2.143790e+04 -2.909114e+03
3.120000e+00 2.137129e+04 -2.837355e+03
3.130000e+00 2.130697e+04 -2.761450e+03
3.140000e+00 2.124512e+04 -2.681603e+03
3.150000e+00 2.118586e+04 -2.598016e+03
3.160000e+00 2.112952e+04 -2.510730e+03
3.170000e+00 2.107628e+04 -2.419892e+03
3.180000e+00 2.102635e+04 -2.325695e+03
3.190000e+00 2.097989e+04 -2.228322e+03
3.200000e+00 2.093706e+04 -2.127931e+03
3.210000e+00 2.089801e+04 -2.024750e+03
3.220000e+00 2.086291e+04 -1.918949e+03
3.230000e+00 2.083188e+04 -1.810764e+03
3.240000e+00 2.080505e+04 -1.700384e+03
3.250000e+00 2.078235e+04 -1.588207e+03
3.260000e+00 2.076407e+04 -1.474281e+03
3.270000e+00 2.075031e+04 -1.358832e+03
3.280000e+00 2.074114e+04 -1.242086e+03
3.290000e+00 2.073663e+04 -1.124280e+03
3.300000e+00 2.073686e+04 -1.005651e+03
3.310000e+00 2.074186e+04 -8.864361e+02
3.320000e+00 2.075166e+04 -7.668716e+02
3.330000e+00 2.076631e+04 -6.471943e+02
3.340000e+00 2.078461e+04 -5.285968e+02
3.350000e+00 2.080757e+04 -4.105624e+02
3.360000e+00 2.083527e+04 -2.932357e+02
3.370000e+00 2.086781e+04 -1.767530e+02
3.380000e+00 2.090516e+04 -6.137232e+01
3.390000e+00 2.094726e+04 5.269257e+01
3.400000e+00 2.099408e+04 1.651937e+02
3.410000e+00 2.104555e+04 2.759088e+02
3.420000e+00 2.110160e+04 3.846122e+02
3.430000e+00 2.116214e+04 4.910698e+02
3.440000e+00 2.122709e+04 5.950675e+02
3.450000e+00 2.129633e+04 6.963882e+02
3.460000e+00 2.136969e+04 7.947521e+02
3.470000e+00 2.144703e+04 8.899322e+02
3.480000e+00 2.152829e+04 9.818210e+02
3.490000e+00 2.161334e+04 1.070230e+03
3.500000e+00 2.170204e+04 1.154969e+03
3.510000e+00 2.179422e+04 1.235862e+03
3.520000e+00 2.188972e+04 1.312737e+03
3.530000e+00 2.198838e+04 1.385429e+03
3.540000e+00 2.208999e+04 1.453782e+03
3.550000e+00 2.219440e+04 1.517647e+03
3.560000e+00 2.230138e+04 1.576887e+03
3.570000e+00 2.241074e+04 1.631354e+03
3.580000e+00 2.252213e+04 1.680795e+03
3.590000e+00 2.263508e+04 1.725166e+03
3.600000e+00 2.274868e+04 1.764231e+03
3.610000e+00 2.286381e+04 1.798111e+03
3.620000e+00 2.298025e+04 1.826720e+03
3.630000e+00 2.309778e+04 1.849984e+03
3.640000e+00 2.321616e+04 1.867843e+03
3.650000e+00 2.333515e+04 1.880241e+03
3.660000e+00 2.345451e+04 1.887138e+03
3.670000e+00 2.357402e+04 1.888499e+03
3.680000e+00 2.369343e+04 1.884303e+03
3.690000e+00 2.381245e+04 1.874477e+03
3.700000e+00 2.393078e+04 1.858983e+03
3.710000e+00 2.404830e+04 1.837930e+03
3.720000e+00 2.416475e+04 1.811340e+03
3.730000e+00 2.427989e+04 1.779241e+03
3.740000e+00 2.439350e+04 1.741676e+03
3.750000e+00 2.450533e+04 1.698696e+03
3.760000e+00 2.461516e+04 1.650361e+03
